Time FPS-0 FPS-1 FPS-2 FPS-3 FPS-4 FPS-5 FPS-6 FPS-7 FPS-8 FPS-9 FVS-0 FVS-1 FVS-2 FVS-3 FVS-4 FVS-5 FVS-6 FVS-7 FVS-8 FVS-9 FVT-0 FVT-1 FVT-2 FVT-3 FVT-4 FVT-5 FVT-6 FVT-7 FVT-8 FVT-9 FDS-0 FDS-1 FDS-2 FDS-3 FDS-4 FDS-5 FDS-6 FDS-7 FDS-8 FDS-9 SHD-0 SHD-1 SHD-2 SHD-3 SHD-4 SHD-5 SHD-6 SHD-7 SHD-8 SHD-9 SB-0 SB-1 SB-2 SB-3 SB-4 SB-5 SB-6 SB-7 SB-8 SB-9 PIN-0 PIN-1 PIN-2 PIN-3 PIN-4 PIN-5 PIN-6 PIN-7 PIN-8 PIN-9 WHB-0 WHB-1 WHB-2 WHB-3 WHB-4 WHB-5 WHB-6 WHB-7 WHB-8 WHB-9 WHT-0 WHT-1 WHT-2 WHT-3 WHT-4 WHT-5 WHT-6 WHT-7 WHT-8 WHT-9 CEP-0 CEP-1 BFS-0 BFF-0 BG-0 BMD-0 BML-0 BMS-0 ZL-0 BD-0 MA-0 SG-0 BC-0 ZG-0 PL-0 PS-0 ZM-0 ZS-0 PB-0 BB-0 BO-0 DL-0 DR-0 DC-0
0.000000e+00 1.216909e+02 4.449266e+03 1.109350e+04 1.666744e+04 1.987419e+04 2.159219e+04 1.969069e+04 1.958332e+04 1.272609e+04 8.206032e+03 4.800661e+04 1.923027e+04 4.550514e+03 1.075353e+03 2.970989e+02 9.716284e+01 3.554213e+01 1.379006e+01 5.499777e+00 2.216914e+00 5.353683e+03 6.262676e+03 3.195898e+03 1.211299e+03 3.370278e+02 1.220266e+02 3.844401e+01 1.748591e+01 8.932436e+00 4.028766e+00 6.863599e+03 1.829483e+04 1.913564e+04 1.210693e+04 6.736687e+03 4.178947e+03 2.489200e+03 1.281114e+03 6.804495e+02 4.198341e+02 3.636656e+03 3.876280e+03 2.901506e+03 1.943773e+03 1.271679e+03 7.684421e+02 4.395149e+02 2.456927e+02 9.633123e+01 7.521434e+01 3.049583e+01 2.921479e+01 1.490709e+01 6.931050e+00 3.211367e+00 1.526652e+00 7.729098e-01 4.227915e-01 2.827748e-01 2.073205e-01 5.764796e+01 1.385120e+02 1.655686e+02 1.578987e+02 1.399140e+02 1.161360e+02 9.674879e+01 7.983461e+01 6.285504e+01 5.719100e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633088e+02 3.261739e+02 2.331093e+02 1.633279e+02 1.166848e+02 6.999046e+01 4.659206e+01 4.659207e+01 2.329605e+01 2.329606e+01 3.746517e+04 3.746517e+04 2.447244e+04 2.447244e+05 2.447244e+03 3.299715e+05 2.447244e+03 1.957795e+04 9.045161e+05 1.038950e+06 2.447244e+06 2.447244e+03 1.246740e+06 3.746517e+06 3.040732e+06 5.656745e+07 6.551681e+05 3.748595e+07 3.746517e+05 2.077899e+06 2.077899e+06 1.038950e+07 4.155799e+07 0.000000e+00
1.000000e+00 1.233301e+02 4.468929e+03 1.111809e+04 1.669603e+04 1.990027e+04 2.161701e+04 1.971172e+04 1.960340e+04 1.273888e+04 8.214183e+03 4.800965e+04 1.923138e+04 4.550723e+03 1.075470e+03 2.971699e+02 9.718592e+01 3.555056e+01 1.379332e+01 5.501080e+00 2.217439e+00 5.354510e+03 6.263056e+03 3.195124e+03 1.211027e+03 3.369401e+02 1.220003e+02 3.843589e+01 1.748329e+01 8.931447e+00 4.028435e+00 6.869186e+03 1.830594e+04 1.914606e+04 1.211059e+04 6.738997e+03 4.180224e+03 2.489904e+03 1.281459e+03 6.806265e+02 4.199409e+02 3.636879e+03 3.875326e+03 2.900782e+03 1.943272e+03 1.271341e+03 7.682346e+02 4.393952e+02 2.456254e+02 9.630548e+01 7.519363e+01 3.049583e+01 2.921479e+01 1.490709e+01 6.931051e+00 3.211368e+00 1.526653e+00 7.729110e-01 4.227927e-01 2.827760e-01 2.073216e-01 5.766140e+01 1.385261e+02 1.655850e+02 1.579139e+02 1.399265e+02 1.161452e+02 9.675635e+01 7.984080e+01 6.285990e+01 5.719543e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633091e+02 3.261741e+02 2.331093e+02 1.633280e+02 1.166848e+02 6.999049e+01 4.659208e+01 4.659210e+01 2.329606e+01 2.329608e+01 3.957243e+04 3.955732e+04 2.447238e+04 2.447236e+05 2.448283e+03 3.299715e+05 2.447244e+03 1.957790e+04 1.020377e+06 1.038820e+06 2.447239e+06 2.447226e+03 1.246739e+06 3.747102e+06 5.144816e+06 6.136237e+07 7.398709e+05 4.264363e+07 1.582818e+06 2.078012e+06 2.077891e+06 1.040127e+07 4.156197e+07 7.058203e-09
2.000000e+00 1.248945e+02 4.487689e+03 1.114174e+04 1.672353e+04 1.992536e+04 2.164088e+04 1.973195e+04 1.962272e+04 1.275118e+04 8.222023e+03 4.801239e+04 1.923237e+04 4.550900e+03 1.075573e+03 2.972327e+02 9.720634e+01 3.555802e+01 1.379621e+01 5.502233e+00 2.217904e+00 5.355229e+03 6.263386e+03 3.194326e+03 1.210747e+03 3.368501e+02 1.219733e+02 3.842756e+01 1.748059e+01 8.930432e+00 4.028096e+00 6.874774e+03 1.831705e+04 1.915649e+04 1.211424e+04 6.741308e+03 4.181500e+03 2.490608e+03 1.281803e+03 6.808036e+02 4.200477e+02 3.637102e+03 3.874373e+03 2.900057e+03 1.942771e+03 1.271003e+03 7.680272e+02 4.392755e+02 2.455582e+02 9.627974e+01 7.517292e+01 3.049583e+01 2.921479e+01 1.490710e+01 6.931052e+00 3.211370e+00 1.526654e+00 7.729120e-01 4.227937e-01 2.827771e-01 2.073227e-01 5.767206e+01 1.385372e+02 1.655981e+02 1.579259e+02 1.399364e+02 1.161525e+02 9.676239e+01 7.984576e+01 6.286380e+01 5.719896e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633094e+02 3.261742e+02 2.331093e+02 1.633280e+02 1.166849e+02 6.999053e+01 4.659211e+01 4.659213e+01 2.329608e+01 2.329609e+01 3.957033e+04 3.954153e+04 2.447232e+04 2.447227e+05 2.449171e+03 3.299715e+05 2.447244e+03 1.957786e+04 1.020410e+06 1.038733e+06 2.447235e+06 2.447210e+03 1.246740e+06 3.747687e+06 5.144075e+06 6.130637e+07 7.392977e+05 4.270493e+07 2.688576e+06 2.078098e+06 2.077885e+06 1.041305e+07 4.156601e+07 7.058211e-09
3.000000e+00 1.264600e+02 4.506457e+03 1.116539e+04 1.675104e+04 1.995046e+04 2.166477e+04 1.975219e+04 1.964204e+04 1.276349e+04 8.229868e+03 4.801514e+04 1.923337e+04 4.551077e+03 1.075676e+03 2.972955e+02 9.722675e+01 3.556547e+01 1.379911e+01 5.503386e+00 2.218369e+00 5.355948e+03 6.263716e+03 3.193528e+03 1.210466e+03 3.367601e+02 1.219462e+02 3.841924e+01 1.747790e+01 8.929419e+00 4.027758e+00 6.880363e+03 1.832816e+04 1.916692e+04 1.211790e+04 6.743619e+03 4.182777e+03 2.491313e+03 1.282148e+03 6.809807e+02 4.201546e+02 3.637325e+03 3.873419e+03 2.899333e+03 1.942270e+03 1.270666e+03 7.678198e+02 4.391558e+02 2.454909e+02 9.625400e+01 7.515223e+01 3.049583e+01 2.921479e+01 1.490710e+01 6.931053e+00 3.211371e+00 1.526655e+00 7.729131e-01 4.227948e-01 2.827782e-01 2.073238e-01 5.768271e+01 1.385484e+02 1.656111e+02 1.579379e+02 1.399463e+02 1.161599e+02 9.676843e+01 7.985071e+01 6.286769e+01 5.720250e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633097e+02 3.261743e+02 2.331094e+02 1.633281e+02 1.166849e+02 6.999056e+01 4.659213e+01 4.659215e+01 2.329609e+01 2.329611e+01 3.956823e+04 3.952575e+04 2.447226e+04 2.447219e+05 2.450060e+03 3.299715e+05 2.447244e+03 1.957781e+04 1.020444e+06 1.038645e+06 2.447231e+06 2.447194e+03 1.246740e+06 3.748273e+06 5.143337e+06 6.119717e+07 7.387255e+05 4.276621e+07 4.310957e+06 2.078192e+06 2.077879e+06 1.042457e+07 4.157005e+07 7.058218e-09
4.000000e+00 1.280260e+02 4.525235e+03 1.118906e+04 1.677856e+04 1.997558e+04 2.168866e+04 1.977244e+04 1.966137e+04 1.277581e+04 8.237716e+03 4.801788e+04 1.923436e+04 4.551253e+03 1.075779e+03 2.973583e+02 9.724716e+01 3.557292e+01 1.380200e+01 5.504539e+00 2.218833e+00 5.356667e+03 6.264046e+03 3.192731e+03 1.210186e+03 3.366701e+02 1.219193e+02 3.841092e+01 1.747521e+01 8.928406e+00 4.027420e+00 6.885951e+03 1.833927e+04 1.917734e+04 1.212156e+04 6.745930e+03 4.184054e+03 2.492017e+03 1.282493e+03 6.811578e+02 4.202614e+02 3.637548e+03 3.872466e+03 2.898608e+03 1.941770e+03 1.270328e+03 7.676124e+02 4.390362e+02 2.454237e+02 9.622827e+01 7.513154e+01 3.049583e+01 2.921480e+01 1.490710e+01 6.931054e+00 3.211372e+00 1.526656e+00 7.729142e-01 4.227959e-01 2.827793e-01 2.073249e-01 5.769337e+01 1.385595e+02 1.656242e+02 1.579500e+02 1.399563e+02 1.161672e+02 9.677447e+01 7.985566e+01 6.287158e+01 5.720604e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633100e+02 3.261744e+02 2.331094e+02 1.633281e+02 1.166850e+02 6.999059e+01 4.659216e+01 4.659218e+01 2.329611e+01 2.329612e+01 3.956613e+04 3.950997e+04 2.447220e+04 2.447210e+05 2.450949e+03 3.299715e+05 2.447243e+03 1.957776e+04 1.020478e+06 1.038558e+06 2.447227e+06 2.447179e+03 1.246740e+06 3.748863e+06 5.142593e+06 6.109091e+07 7.381543e+05 4.282752e+07 6.353095e+06 2.078296e+06 2.077873e+06 1.043576e+07 4.157410e+07 7.058225e-09
5.000000e+00 1.295929e+02 4.544023e+03 1.121274e+04 1.680610e+04 2.000070e+04 2.171257e+04 1.979270e+04 1.968072e+04 1.278813e+04 8.245569e+03 4.802063e+04 1.923536e+04 4.551430e+03 1.075881e+03 2.974211e+02 9.726757e+01 3.558037e+01 1.380489e+01 5.505691e+00 2.219298e+00 5.357387e+03 6.264376e+03 3.191934e+03 1.209906e+03 3.365801e+02 1.218923e+02 3.840261e+01 1.747253e+01 8.927393e+00 4.027081e+00 6.891539e+03 1.835038e+04 1.918777e+04 1.212522e+04 6.748241e+03 4.185331e+03 2.492722e+03 1.282838e+03 6.813349e+02 4.203683e+02 3.637771e+03 3.871513e+03 2.897884e+03 1.941269e+03 1.269990e+03 7.674051e+02 4.389166e+02 2.453565e+02 9.620255e+01 7.511085e+01 3.049583e+01 2.921480e+01 1.490710e+01 6.931056e+00 3.211373e+00 1.526657e+00 7.729154e-01 4.227971e-01 2.827804e-01 2.073260e-01 5.770404e+01 1.385707e+02 1.656373e+02 1.579620e+02 1.399662e+02 1.161746e+02 9.678051e+01 7.986062e+01 6.287548e+01 5.720958e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633102e+02 3.261746e+02 2.331094e+02 1.633282e+02 1.166850e+02 6.999063e+01 4.659218e+01 4.659220e+01 2.329612e+01 2.329613e+01 3.956403e+04 3.949420e+04 2.447214e+04 2.447202e+05 2.451840e+03 3.299715e+05 2.447243e+03 1.957771e+04 1.020512e+06 1.038471e+06 2.447223e+06 2.447163e+03 1.246741e+06 3.749455e+06 5.141857e+06 6.098605e+07 7.375841e+05 4.288885e+07 8.564548e+06 2.078409e+06 2.077868e+06 1.044658e+07 4.157817e+07 7.058232e-09
6.000000e+00 1.311608e+02 4.562820e+03 1.123643e+04 1.683365e+04 2.002584e+04 2.173649e+04 1.981298e+04 1.970007e+04 1.280046e+04 8.253426e+03 4.802337e+04 1.923635e+04 4.551606e+03 1.075984e+03 2.974838e+02 9.728796e+01 3.558782e+01 1.380777e+01 5.506843e+00 2.219762e+00 5.358108e+03 6.264707e+03 3.191138e+03 1.209626e+03 3.364902e+02 1.218653e+02 3.839430e+01 1.746984e+01 8.926381e+00 4.026743e+00 6.897127e+03 1.836149e+04 1.919819e+04 1.212888e+04 6.750553e+03 4.186608e+03 2.493426e+03 1.283183e+03 6.815121e+02 4.204751e+02 3.637994e+03 3.870561e+03 2.897160e+03 1.940769e+03 1.269653e+03 7.671979e+02 4.387970e+02 2.452893e+02 9.617684e+01 7.509017e+01 3.049583e+01 2.921480e+01 1.490710e+01 6.931057e+00 3.211374e+00 1.526658e+00 7.729166e-01 4.227982e-01 2.827816e-01 2.073272e-01 5.771470e+01 1.385819e+02 1.656503e+02 1.579741e+02 1.399761e+02 1.161819e+02 9.678655e+01 7.986557e+01 6.287937e+01 5.721312e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633105e+02 3.261747e+02 2.331094e+02 1.633282e+02 1.166850e+02 6.999066e+01 4.659221e+01 4.659223e+01 2.329613e+01 2.329615e+01 3.956193e+04 3.947844e+04 2.447208e+04 2.447194e+05 2.452731e+03 3.299715e+05 2.447243e+03 1.957767e+04 1.020546e+06 1.038384e+06 2.447219e+06 2.447147e+03 1.246741e+06 3.750050e+06 5.141118e+06 6.087698e+07 7.370149e+05 4.295012e+07 1.070405e+07 2.078530e+06 2.077862e+06 1.045702e+07 4.158223e+07 7.058240e-09
7.000000e+00 1.327297e+02 4.581626e+03 1.126013e+04 1.686122e+04 2.005100e+04 2.176043e+04 1.983326e+04 1.971943e+04 1.281279e+04 8.261286e+03 4.802611e+04 1.923735e+04 4.551782e+03 1.076087e+03 2.975466e+02 9.730836e+01 3.559527e+01 1.381066e+01 5.507994e+00 2.220226e+00 5.358829e+03 6.265037e+03 3.190342e+03 1.209346e+03 3.364004e+02 1.218384e+02 3.838599e+01 1.746715e+01 8.925370e+00 4.026405e+00 6.902714e+03 1.837260e+04 1.920861e+04 1.213253e+04 6.752864e+03 4.187885e+03 2.494131e+03 1.283527e+03 6.816892e+02 4.205820e+02 3.638217e+03 3.869608e+03 2.896437e+03 1.940268e+03 1.269315e+03 7.669907e+02 4.386775e+02 2.452221e+02 9.615113e+01 7.506949e+01 3.049583e+01 2.921480e+01 1.490710e+01 6.931058e+00 3.211375e+00 1.526660e+00 7.729178e-01 4.227994e-01 2.827828e-01 2.073284e-01 5.772536e+01 1.385930e+02 1.656634e+02 1.579861e+02 1.399860e+02 1.161893e+02 9.679260e+01 7.987053e+01 6.288327e+01 5.721666e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633108e+02 3.261748e+02 2.331094e+02 1.633282e+02 1.166851e+02 6.999069e+01 4.659223e+01 4.659225e+01 2.329615e+01 2.329616e+01 3.955983e+04 3.946268e+04 2.447202e+04 2.447185e+05 2.453622e+03 3.299715e+05 2.447243e+03 1.957762e+04 1.020580e+06 1.038296e+06 2.447215e+06 2.447131e+03 1.246741e+06 3.750646e+06 5.140375e+06 6.076490e+07 7.364464e+05 4.301130e+07 1.260334e+07 2.078661e+06 2.077856e+06 1.046710e+07 4.158631e+07 7.058247e-09
8.000000e+00 1.342990e+02 4.600441e+03 1.128384e+04 1.688880e+04 2.007616e+04 2.178437e+04 1.985355e+04 1.973881e+04 1.282513e+04 8.269151e+03 4.802885e+04 1.923834e+04 4.551958e+03 1.076189e+03 2.976093e+02 9.732874e+01 3.560271e+01 1.381355e+01 5.509145e+00 2.220690e+00 5.359551e+03 6.265368e+03 3.189546e+03 1.209066e+03 3.363106e+02 1.218114e+02 3.837769e+01 1.746447e+01 8.924358e+00 4.026068e+00 6.908302e+03 1.838371e+04 1.921903e+04 1.213619e+04 6.755175e+03 4.189162e+03 2.494836e+03 1.283872e+03 6.818663e+02 4.206889e+02 3.638440e+03 3.868656e+03 2.895713e+03 1.939768e+03 1.268978e+03 7.667836e+02 4.385580e+02 2.451550e+02 9.612543e+01 7.504883e+01 3.049583e+01 2.921480e+01 1.490710e+01 6.931059e+00 3.211376e+00 1.526661e+00 7.729190e-01 4.228006e-01 2.827840e-01 2.073296e-01 5.773603e+01 1.386042e+02 1.656765e+02 1.579982e+02 1.399960e+02 1.161966e+02 9.679864e+01 7.987549e+01 6.288717e+01 5.722021e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633111e+02 3.261750e+02 2.331095e+02 1.633283e+02 1.166851e+02 6.999073e+01 4.659226e+01 4.659228e+01 2.329616e+01 2.329618e+01 3.955774e+04 3.944693e+04 2.447196e+04 2.447177e+05 2.454514e+03 3.299715e+05 2.447243e+03 1.957757e+04 1.020615e+06 1.038209e+06 2.447211e+06 2.447115e+03 1.246741e+06 3.751243e+06 5.139629e+06 6.065027e+07 7.358788e+05 4.307238e+07 1.420512e+07 2.078800e+06 2.077850e+06 1.047687e+07 4.159039e+07 7.058254e-09
9.000000e+00 1.358692e+02 4.619266e+03 1.130756e+04 1.691639e+04 2.010134e+04 2.180833e+04 1.987386e+04 1.975819e+04 1.283748e+04 8.277020e+03 4.803159e+04 1.923933e+04 4.552135e+03 1.076292e+03 2.976720e+02 9.734912e+01 3.561015e+01 1.381643e+01 5.510296e+00 2.221154e+00 5.360273e+03 6.265699e+03 3.188751e+03 1.208787e+03 3.362208e+02 1.217845e+02 3.836939e+01 1.746179e+01 8.923348e+00 4.025730e+00 6.913888e+03 1.839482e+04 1.922945e+04 1.213985e+04 6.757487e+03 4.190439e+03 2.495540e+03 1.284217e+03 6.820434e+02 4.207957e+02 3.638663e+03 3.867704e+03 2.894990e+03 1.939268e+03 1.268640e+03 7.665766e+02 4.384385e+02 2.450879e+02 9.609973e+01 7.502816e+01 3.049583e+01 2.921480e+01 1.490710e+01 6.931060e+00 3.211378e+00 1.526662e+00 7.729202e-01 4.228018e-01 2.827852e-01 2.073308e-01 5.774670e+01 1.386154e+02 1.656896e+02 1.580103e+02 1.400059e+02 1.162040e+02 9.680469e+01 7.988044e+01 6.289106e+01 5.722375e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 4.633113e+02 3.261751e+02 2.331095e+02 1.633283e+02 1.166852e+02 6.999076e+01 4.659228e+01 4.659230e+01 2.329618e+01 2.329619e+01 3.955564e+04 3.943119e+04 2.447190e+04 2.447168e+05 2.455407e+03 3.299715e+05 2.447243e+03 1.957752e+04 1.020649e+06 1.038122e+06 2.447207e+06 2.447099e+03 1.246742e+06 3.751841e+06 5.138882e+06 6.053457e+07 7.353118e+05 4.313331e+07 1.552045e+07 2.078948e+06 2.077844e+06 1.048639e+07 4.159448e+07 7.058261e-09
